Considera Rebuy;Não
Considera Addon;Não
1;100
2;80
3;65
4;55
5;50
6;45
7;40
8;35
9;30
10;20
11;18
12;16
13;14
14;12
15;10
16;9
17;8
18;7
19;6
20;5
21;4
22;3
23;2
24;2
25;2
26;2
27;1
28;1
29;1
30;1
